scheme_code,scheme_name,date,nav,plan_type
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-02,11.53,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-03,11.59,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-04,11.54,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-05,11.53,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-06,11.54,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-09,11.57,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-10,11.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-11,11.52,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-12,11.65,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-13,11.7,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-16,11.7,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-17,11.74,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-18,11.73,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-20,11.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-23,11.49,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-24,11.57,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-25,11.6,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-26,11.61,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-27,11.68,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-30,11.84,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-08-31,11.93,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-01,11.98,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-02,12.07,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-03,12.09,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-06,12.14,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-07,12.14,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-08,12.13,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-09,12.14,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-13,12.16,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-14,12.2,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-15,12.29,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-16,12.32,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-17,12.29,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-20,12.14,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-21,12.22,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-22,12.3,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-23,12.46,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-24,12.43,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-27,12.37,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-28,12.27,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-29,12.26,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-09-30,12.26,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-01,12.25,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-04,12.38,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-05,12.45,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-06,12.34,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-07,12.53,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-08,12.57,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-11,12.6,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-12,12.66,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-13,12.76,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-14,12.83,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-18,12.89,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-19,12.77,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-20,12.62,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-21,12.59,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-22,12.54,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-25,12.48,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-26,12.62,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-27,12.64,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-28,12.48,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-10-29,12.45,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-01,12.6,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-02,12.68,Regular
